모델번호,시리얼,지역,자치구,행정동
SDOT001,OC3CL200173,roads_and_parks,Gwanak-gu,Jowon-dong
SDOT001,OC3CL200179,residential_area,Gangseo-gu,Gonghang-dong
SDOT001,OC3CL200188,residential_area,Gangseo-gu,Banghwa1(il)-dong
SDOT001,OC3CL200195,roads_and_parks,Dongdaemun-gu,Imun2(i)-dong
SDOT001,OC3CL200183,residential_area,Gangseo-gu,Yeomchang-dong
SDOT001,OC3CL200186,industrial_area,Gangseo-gu,Gayang1(il)-dong
SDOT001,OC3CL200193,residential_area,Guro-gu,Gu-ro3(sam)-dong
SDOT001,OC3CL200187,commercial_area,Gangseo-gu,Banghwa1(il)-dong
SDOT001,OC3CL200180,residential_area,Gangseo-gu,Gayang1(il)-dong
SDOT001,OC3CL200185,residential_area,Gangseo-gu,Yeomchang-dong
SDOT001,OC3CL200181,residential_area,Gangseo-gu,Gayang2(i)-dong
SDOT001,OC3CL200182,residential_area,Gangseo-gu,Yeomchang-dong
SDOT001,OC3CL200189,roads_and_parks,Gwanak-gu,Sinwon-dong
SDOT001,OC3CL200184,residential_area,Gangseo-gu,Deungchon2(i)-dong
SDOT001,OC3CL200191,residential_area,Guro-gu,Sugung-dong
SDOT001,OC3CL200197,roads_and_parks,Dongdaemun-gu,Cheongnyangni-dong
SDOT001,OC3CL200192,roads_and_parks,Guro-gu,Oryu2(i)-dong
SDOT001,OC3CL200196,residential_area,Dongdaemun-gu,Cheongnyangni-dong
SDOT001,OC3CL200194,roads_and_parks,Jongno-gu,Sajik-dong
SDOT001,OC3CL200198,residential_area,Seongbuk-gu,Wolgok2(i)-dong
SDOT001,OC3CL200190,roads_and_parks,Gwangjin-gu,Gwangjang-dong
SDOT001,OC3CL200217,residential_area,Seongdong-gu,Songjeong-dong
SDOT001,OC3CL200220,roads_and_parks,Jongno-gu,Ihwa-dong
SDOT001,OC3CL200219,roads_and_parks,Jongno-gu,Changsin1(il)-dong
SDOT001,OC3CL200200,residential_area,Seongbuk-gu,Jeongneung3(sam)-dong
SDOT001,OC3CL200199,industrial_area,Seongbuk-gu,Jongam-dong
SDOT001,OC3CL200209,commercial_area,Eunpyeong-gu,Jingwan-dong
SDOT001,OC3CL200208,commercial_area,Songpa-gu,Jangji-dong
SDOT001,OC3CL200221,roads_and_parks,Yongsan-gu,Hangang-ro-dong
SDOT001,OC3CL200215,residential_area,Seodaemun-gu,Hongje1(il)-dong
SDOT001,OC3CL200203,roads_and_parks,Jungnang-gu,Mangubon-dong
SDOT001,OC3CL200204,roads_and_parks,Eunpyeong-gu,Gusan-dong
SDOT001,OC3CL200214,residential_area,Seodaemun-gu,Hongje2(i)-dong
SDOT001,OC3CL200212,roads_and_parks,Jung-gu,Myeong-dong
SDOT001,OC3CL200216,residential_area,Seongdong-gu,Songjeong-dong
SDOT001,OC3CL200210,roads_and_parks,Jongno-gu,Jong-ro1(il).2(i).3(sam
SDOT001,OC3CL200213,roads_and_parks,Nowon-gu,Sanggye1(il)-dong
SDOT001,OC3CL200206,residential_area,Nowon-gu,Junggye1(il)-dong
SDOT001,OC3CL200207,commercial_area,Songpa-gu,Garak2(i)-dong
SDOT001,OC3CL200211,roads_and_parks,Jongno-gu,Jong-ro1(il).2(i).3(sam
SDOT001,OC3CL200218,residential_area,Seongdong-gu,Sageun-dong
SDOT001,OC3CL200224,residential_area,Seocho-gu,Banpobon-dong
SDOT001,OC3CL200223,residential_area,Seocho-gu,Banpobon-dong
SDOT001,OC3CL200241,roads_and_parks,Mapo-gu,Seongsan2(i)-dong
SDOT001,OC3CL200236,roads_and_parks,Seocho-gu,Yangjae2(i)-dong
SDOT001,OC3CL200229,public_facilities,Seodaemun-gu,Cheonyeon-dong
SDOT001,OC3CL200242,roads_and_parks,Mapo-gu,Mangwon1(il)-dong
SDOT001,OC3CL200225,roads_and_parks,Jungnang-gu,Muk2(i)-dong
SDOT001,OC3CL200237,roads_and_parks,Mapo-gu,Seongsan2(i)-dong
SDOT001,OC3CL200222,roads_and_parks,Seongbuk-gu,Seongbuk-dong
SDOT001,OC3CL200227,residential_area,Seongdong-gu,Sageun-dong
SDOT001,OC3CL200230,roads_and_parks,Gangseo-gu,Gayang1(il)-dong
SDOT001,OC3CL200239,roads_and_parks,Mapo-gu,Ahyeon-dong
SDOT001,OC3CL200228,traditional_markets,Seodaemun-gu,Hongje3(sam)-dong
SDOT001,OC3CL200244,roads_and_parks,Mapo-gu,Seongsan2(i)-dong
SDOT001,OC3CL200234,roads_and_parks,Mapo-gu,Sogang-dong
SDOT001,OC3CL200231,roads_and_parks,Mapo-gu,Seongsan2(i)-dong
SDOT001,OC3CL200235,roads_and_parks,Mapo-gu,Sangam-dong
SDOT001,OC3CL200240,roads_and_parks,Gangbuk-gu,Beon3(sam)-dong
SDOT001,OC3CL200233,roads_and_parks,Seocho-gu,Yangjae2(i)-dong
SDOT001,OC3CL200243,roads_and_parks,Mapo-gu,Yonggang-dong
SDOT001,OC3CL200247,residential_area,Jongno-gu,Gyonam-dong
SDOT001,OC3CL200246,roads_and_parks,Mapo-gu,Sinsu-dong
SDOT001,OC3CL200249,roads_and_parks,Gangbuk-gu,Beon3(sam)-dong
SDOT001,OC3CL210106,residential_area,Gangdong-gu,Cheonho2(i)-dong
SDOT001,OC3CL200245,residential_area,Dongdaemun-gu,Jeonnong2(i)-dong
SDOT001,OC3CL210101,residential_area,Gangdong-gu,Amsa1(il)-dong
SDOT001,OC3CL200253,residential_area,Yongsan-gu,Ichon1(il)-dong
SDOT001,OC3CL210102,residential_area,Gangdong-gu,Cheonho1(il)-dong
SDOT001,OC3CL200251,roads_and_parks,Mapo-gu,Seongsan2(i)-dong
SDOT001,OC3CL210108,commercial_area,Gangdong-gu,Dunchon1(il)-dong
SDOT001,OC3CL210100,residential_area,Gangdong-gu,Amsa1(il)-dong
SDOT001,OC3CL210104,residential_area,Gangdong-gu,Cheonho2(i)-dong
SDOT001,OC3CL210103,residential_area,Gangdong-gu,Cheonho2(i)-dong
SDOT001,OC3CL200254,roads_and_parks,Mapo-gu,Seogyo-dong
SDOT001,OC3CL210099,residential_area,Gangdong-gu,Amsa1(il)-dong
SDOT001,OC3CL200252,roads_and_parks,Mapo-gu,Sangam-dong
SDOT001,OC3CL210105,residential_area,Gangdong-gu,Cheonho2(i)-dong
SDOT001,OC3CL200248,roads_and_parks,Mapo-gu,Seongsan2(i)-dong
SDOT001,OC3CL210109,residential_area,Gangdong-gu,Cheonho2(i)-dong
SDOT001,OC3CL210112,residential_area,Gangdong-gu,Amsa1(il)-dong
SDOT001,OC3CL210110,residential_area,Gangdong-gu,Myeon-gil1(il)-dong
SDOT001,OC3KL240004,main_street,Eunpyeong-gu,Nokbeon-dong
SDOT001,OC3DL220001,residential_area,Eunpyeong-gu,Sinsa1(il)-dong
SDOT001,OC3CL210115,residential_area,Gangdong-gu,Seongnae3(sam)-dong
SDOT001,OC3CL210107,residential_area,Gangdong-gu,Seongnae1(il)-dong
SDOT001,OC3DL220022,residential_area,Gwangjin-gu,Junggok2(i)-dong
SDOT001,OC3CL200255,residential_area,Gwanak-gu,Daehak-dong
SDOT001,OC3CL210113,residential_area,Gangdong-gu,Amsa1(il)-dong
SDOT001,OC3CL210111,residential_area,Gangdong-gu,Cheonho2(i)-dong
SDOT001,OC3DL230025,residential_area,Jongno-gu,Gyonam-dong
SDOT001,OC3DL230026,residential_area,Jongno-gu,Gyonam-dong
SDOT001,OC3CL200257,roads_and_parks,Mapo-gu,Seongsan1(il)-dong
SDOT001,OC3CL200256,industrial_area,Seongdong-gu,Majang-dong
SDOT001,OC3DL220020,residential_area,Seongdong-gu,Geumho4(sa)-dong
SDOT001,OC3CL210114,residential_area,Gangdong-gu,Seongnae3(sam)-dong
SDOT001,OC3CL210300,residential_area,Jungnang-gu,Sinnae1(il)-dong
SDOT001,V02Q1940045,residential_area,Guro-gu,Gu-ro1(il)-dong
SDOT001,OC3DL230027,residential_area,Jongno-gu,Muak-dong
SDOT001,V02Q1940052,residential_area,Guro-gu,Gu-ro3(sam)-dong
SDOT001,V02Q1940055,residential_area,Guro-gu,Gu-ro5(o)-dong
SDOT001,V02Q1940053,residential_area,Jung-gu,Sogong-dong
SDOT001,OC3KL240005,main_street,Eunpyeong-gu,Nokbeon-dong
SDOT001,V02Q1940051,residential_area,Guro-gu,Gaebong3(sam)-dong
SDOT001,V02Q1940047,residential_area,Guro-gu,Garibong-dong
SDOT001,OC3KL240006,main_street,Eunpyeong-gu,Daejo-dong
SDOT001,V02Q1940059,residential_area,Gangnam-gu,Gaepo2(i)-dong
SDOT001,V02Q1940054,residential_area,Guro-gu,Gaebong2(i)-dong
SDOT001,V02Q1940058,residential_area,Dongdaemun-gu,Jeonnong2(i)-dong
SDOT001,V02Q1940043,residential_area,Guro-gu,Gu-ro2(i)-dong
SDOT001,V02Q1940050,residential_area,Guro-gu,Gaebong1(il)-dong
SDOT001,V02Q1940046,residential_area,Guro-gu,Sugung-dong
SDOT001,V02Q1940057,industrial_area,Guro-gu,Gaebong1(il)-dong
SDOT001,V02Q1940056,residential_area,Guro-gu,Oryu2(i)-dong
SDOT001,V02Q1940060,residential_area,Gangnam-gu,Ilwonbon-dong
SDOT001,V02Q1940044,residential_area,Guro-gu,Gu-ro2(i)-dong
SDOT001,V02Q1940049,residential_area,Dongdaemun-gu,Yongshin-dong
SDOT001,V02Q1940062,residential_area,Gangseo-gu,Hwagok1(il)-dong
SDOT001,V02Q1940079,residential_area,Gangnam-gu,Ilwon1(il)-dong
SDOT001,V02Q1940067,residential_area,Seocho-gu,Naegok-dong
SDOT001,V02Q1940061,industrial_area,Guro-gu,Gu-ro2(i)-dong
SDOT001,V02Q1940071,residential_area,Yangcheon-gu,Sinwol3(sam)-dong
SDOT001,V02Q1940065,residential_area,Guro-gu,Gocheok2(i)-dong
SDOT001,V02Q1940063,residential_area,Gangnam-gu,Samseong1(il)-dong
SDOT001,V02Q1940068,residential_area,Seocho-gu,Bangbae4(sa)-dong
SDOT001,V02Q1940070,residential_area,Guro-gu,Hang-dong
SDOT001,V02Q1940074,residential_area,Yeongdeungpo-gu,Dangsan1(il)-dong
SDOT001,V02Q1940066,residential_area,Gangseo-gu,Gayang1(il)-dong
SDOT001,V02Q1940072,residential_area,Gangseo-gu,Hwagok6(yuk)-dong
SDOT001,V02Q1940064,residential_area,Seongbuk-gu,Jangwi2(i)-dong
SDOT001,V02Q1940069,residential_area,Gangseo-gu,Yeomchang-dong
SDOT001,V02Q1940073,commercial_area,Guro-gu,Gu-ro2(i)-dong
SDOT001,V02Q1940077,residential_area,Yeongdeungpo-gu,Daerim3(sam)-dong
